"","RIPCre.2.1","RIPCre.2.2","RIPCre.2.3","RIPCre.2.4","RIPCre.2.5","RIPCre.2.6","RIPCre.2.7","RIPCre.2.8","RIPCre.2.9","RIPCre.2.10","RIPCre.2.11","RIPCre.2.12","RIPCre.2.13","RIPCre.2.14","RIPCre.2.15","RIPCre.2.17","RIPCre.2.24","RIPCre.2.25","RIPCre.2.26","RIPCre.2.27","RIPCre.2.29","RIPCre.2.31","RIPCre.2.32","RIPCre.2.34","RIPCre.2.43"
"Anapc7",51.77,0.29,44.12,27.01,77.12,72.96,25.36,37.22,0,15.72,0,0.27,19.32,0,0,37.4,38.3,0,17.4,1.73,23.97,0,22.34,0.19,51.7
"Ang",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ang2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ang3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ang4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ang6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Angel1",0,0,0,39.88,0,69.88,0,0,0,0,0,0,40.52,42.69,0,0,0,0,0,0,0,0,0,0,0
"Angel2",2.47,0,0,0,0,0,0,17.46,8.29,0,35.88,0,0,0,10.41,26.64,0,25.51,1.56,0,15.11,33.64,9.27,8.06,36.27
"Angpt1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.75,0,0,0,0,0,0,0,0
"Angpt2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.76,1.2,0,0,0,0,6.64,0,0,0,0
"Angpt4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99
"Angptl1",0,0,0,0,0,0,0,0,0.94,0,0,0,2.45,0,0,0,0,0,0,0,0,0,0,0,0
"Angptl2",0,0,0,0,0,0,0,7.71,0,0,0,0.1,0.1,0,0,0,0.51,0,0,0,0,0,0,0,0
"Angptl3",1.17,0,0,0,0,0,0,0,0,0,0.18,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0
"Angptl4",0,0,0,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Angptl6",40.24,0,0,45.36,0,44.05,0,0,55.64,0,42.46,0,0,0,0,29.88,0,0,0,38.63,6.96,0,0,0,28.24
"Angptl7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ank",51.82,65.01,0,0,0,69.71,44.5,0,25.99,67.11,28.64,0,59.99,0,10.78,18.77,0,0,0,32.57,0,0,12.73,5.27,0
"Ank1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94,0,0,0,0,0,0,0,0,1.35,0
"Ank2",0,0.42,4.02,0,0,0,0,0,3.1,0,0,0,0,0,15.22,1.65,0,0,4.68,10.44,11.94,12.29,0,2.81,0
"Ank3",6.08,3.81,7.26,12.52,6.11,0,13.41,6.92,11.38,3.46,3.02,1.22,25.23,3.66,7.77,15.5,10.08,8.56,12.78,5.71,11.43,6.29,26.2,25.53,11.28
"Ankar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ankdd1b",0,0,0,0,0,29.72,0,0,0,0,0,0,0,12.25,0,5.3,0,1.66,0,0,13.3,9.33,1.69,0,0
"Ankef1",0,0,0,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ankfn1",0,0.82,0,0,0,0,0,0,0,40.41,0,0,0,0,2.64,0,28.03,0,0,0,0,0,0,0,0
"Ankfy1",0.05,9.12,9.33,12.1,15.44,0.05,0.3,1.38,7.74,0,0.64,6.02,4.08,4.36,29.09,0.13,11.22,7.98,1.58,2.87,2.28,0.07,0,27.78,0.07
"Ankhd1",0,0,0.12,13.47,0,0,0.04,0.05,0,0.04,0.21,0,0,13.72,0.7,0.17,0.11,28.33,10.2,7.87,0.03,0,1.32,0.89,7.91
"Ankib1",0.78,0,1.75,0,0,0,0,3.79,0,3.23,1.86,6.14,0.64,0,4.66,8.82,18.96,2.34,4.33,0,31.17,0.11,1.89,0.89,0
"Ankk1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2,0,0,0,0,0
"Ankle1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ankle2",0,0,0,20.06,44.69,0,4.31,31.81,17.47,3.02,15.13,0,1.83,42.89,0,5.75,0,0.14,13.75,0,31.35,3.48,0.79,0.51,0
"Ankmy1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.34,0
"Ankmy2",36.31,0,39.27,16.41,27.11,0,25.54,21.77,18.08,18.61,22.7,1.53,11.37,32.98,13.96,16.61,22.82,24.12,11.09,18.49,29.72,18.06,20.26,3.92,7.49
"Ankra2",52,35.98,62.02,14.13,33,59.67,3.29,45.16,1.57,26.35,7.47,6.88,0,0,0,19.49,26.9,0.91,19.91,0,12.72,41.34,20.18,13.25,3.71
"Ankrd1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ankrd10",21.27,71.63,76.69,50.66,15.19,45.11,19.81,82.35,45.55,1.63,49.2,13.9,10.28,59.28,58.37,2.78,0,4.02,23.63,97.97,19.16,40.97,0.93,0,15.49
"Ankrd11",7.86,11.29,44.87,19.4,2.55,14.86,7.91,3.59,0.28,0.23,5.4,7.57,24.48,3.54,39.06,9.9,5.78,3.27,2.32,7.65,10.14,0,1.01,0.38,1.35
"Ankrd12",14.24,11.14,13.09,26.49,18.36,11.71,10.93,6.59,4.15,21.3,2.46,14.37,25.94,26.63,9.24,8.33,0.66,18.54,11,35.31,5.55,15.29,16.18,2.16,11.76
"Ankrd13a",0,0,0,0.1,0,0,15.04,0,0,0,0,28.09,0,0,45.43,0,0,0,18.67,0,31.03,0,26.67,0,0
"Ankrd13b",0,0,0,0,0,23.06,11.62,19.82,3.25,0,0,0,0,0,0,0.12,0,0.82,19.78,3.3,0,0,0,0,0
"Ankrd13c",0,0,47.53,36.11,0,0,22.75,0,11.49,1.03,5.87,0,20.33,0.84,6.12,0,0.74,28.6,13.5,0,16.83,0,2.66,0,0
"Ankrd13d",129.7,11.02,118.29,5.93,65.15,140.73,81.4,0,244.93,85.73,92.41,179.22,184.91,0.78,104.47,89.56,53.19,8.49,137.22,158.54,97.83,84.73,162.72,19.04,0
"Ankrd16",0,0,0,0,50.15,0,13.63,0,55.85,0,32.3,0,36.14,20.27,23.15,19.73,23.16,0,25.44,0,0,0,0,0,0
"Ankrd17",1.75,5.27,4.62,0.15,0,0,12.25,9.63,4.5,4.82,9.52,7.13,19.19,51.49,6.4,11.55,42.82,5.55,19.75,0.05,27.44,0,5.43,33.38,14.97
"Ankrd2",0,0,1.73,0,0,0,0,0,99.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ankrd22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ankrd23",16.54,0,3.67,20.1,0,0,58.81,0,26.64,38.51,23.46,23.07,0,0,28.12,24.27,34.31,15.7,1.74,40.07,17.51,0,34.02,0,0
"Ankrd24",0,0.16,17,33.53,14.22,0,4.94,0,20.89,0,0,5.06,0,0,52.68,21.3,0,10.62,13.17,11.01,5.1,0,18.86,67.01,0.39
"Ankrd26",25.68,8.49,25.9,0,0,0,20.63,0.58,4.14,0,4.2,4.26,27.16,0,9.99,3.08,0,0.41,0.55,0,3.01,0,0,21.54,0
"Ankrd27",0,43.69,0,0,0,0,28.16,3.55,4.66,0,0,0,0,0,0.07,12.64,0,0,0,0,0,41.18,18.05,0,0
"Ankrd28",0,10.54,0,0,0,0,0.94,0,0,0,0,0,0,0,0,0.44,1.36,0,0,0,0,22.94,0,0,3.01
"Ankrd29",0,0,2.05,0,0,0,0,0,2.08,0,0,0,0,0,0,20.51,0,0,0,0,9.1,0,0,0,0
"Ankrd32",13.77,0,0,26.57,0,15.01,0,9.85,0.89,0,3.68,10.55,0,0,1.46,0,0,0,2.02,0,0,0,0,0,8.12
"Ankrd33",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ankrd33b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ankrd34a",17.18,36.49,0,12.48,0,125.82,17.33,27.09,86.09,27.25,4.71,0,71.39,0,0,6.45,0.25,0,0,96,89.12,0.97,4.64,2.8,41.82
"Ankrd34b",0,4.67,63.38,8.74,43.46,0,2.41,17.36,0,0,24.41,6.65,1.93,0,49.17,21.56,0,0,53.75,5.16,19.63,0,11.35,50.72,0
"Ankrd34c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ankrd35",12.31,0.22,59.94,2.6,0,20.88,0,0,93.57,0.22,0,0,71.92,127.29,46.01,0,26.44,41.11,0,22.33,0.09,0,0,0.22,0
"Ankrd36",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0
"Ankrd37",0,0,0,0,57.18,108.88,0,117.19,18.75,0,0,75.84,0,0,0,38.51,0,0,0,0,0,39.02,17.97,0,0
"Ankrd40",0,0,56.63,0.42,0,0,0,9.23,0,0,1.35,0,43.36,0,8.77,10.26,0,0,0.17,0,0.19,37.94,0.93,0,0
"Ankrd42",2.55,0,35.73,1.09,0,0,1.04,8.94,2.57,0,0,31.54,0,0,31.12,0,0,0,0,0,0,0,10.53,37.15,0
"Ankrd44",0,0,0,0,0,0,12.19,0,0,0,7.86,0,0,0,15.05,0,4.99,0,0,2.21,0.22,0,0,0,0
"Ankrd45",9.28,78.16,0,7.25,47.99,0,0,32.82,8.19,37,72.62,15.4,0,16.06,24.87,34.33,63.12,0,68.76,0,16.23,0,70.61,27,0
"Ankrd46",2.14,54.5,128.58,93.84,61.8,74.37,166.08,111.81,14.22,89.09,83.54,21.88,98.51,49.54,0,59.89,0,28.36,51.06,98.08,38.09,75.78,84.38,134.85,0
"Ankrd49",0,0,7.99,0.18,0,0,0,0,4.42,0,30.39,26.05,0,39.6,0,0,0,0,0,0,0,0,16.1,0,0
"Ankrd50",0,3.78,0,13.39,48.46,10.9,0,0,5.71,0,0,7.06,0.38,0,0,0,10.38,18.11,7.9,0.24,26.35,20.49,28.27,17.25,0
"Ankrd52",0,10.89,0,0,0,0,0,7.28,22.9,0,0,0,0,0,0,0,19.89,0,0,0,23.96,0.2,8.23,0,0
"Ankrd53",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ankrd54",0,6.62,67.33,0,0.13,31.96,0,33.42,0,0,11.38,27.55,43.7,0,72.15,0,0,0,0,0,36.1,0,0,0.26,0
"Ankrd55",1.15,46.93,0,4.55,13.04,23.88,0,0,0,29.09,27.1,13.41,0,0,30.61,0,0,0,0,1.37,6.69,4.33,0,1.27,0.23
"Ankrd6",14.46,1.54,0,34.65,33.64,0.18,29.09,75.53,48.24,54.55,26.37,0,3.48,69.9,24.82,14.93,34.38,53.87,11.14,38.33,0,92.93,0,46.09,48.57
"Ankrd60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.38,0.67,0,0,0,0,0,0,0
"Ankrd61",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ankrd63",0,0,0,0,0,0,0,0,0,0,0,0,10.56,0,0,0,0,2.27,0.26,0,0,0,0,0,0
"Ankrd65",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ankrd66",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ankrd7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ankrd9",35.19,0,0,0,0,0,0,0,0,0,26.82,0,49.27,52.02,54.53,26.84,0,0,8.4,0,0,0,0,0,0.28
"Anks1",0,2.95,0,0.07,0,0,0.18,0.22,41.63,0,0,0.08,0,0.07,0,0.06,0,0,16.27,0,1.93,0,0,2.58,0
"Anks1b",18.09,1.14,0.27,9.79,16.65,32.16,14.14,0.74,1.39,10.55,1.25,4.12,5.3,0.84,0,0,10.49,7.42,6.55,0,3.95,21.11,15.48,8.68,28.76
"Anks3",24.74,0.33,0,0,0,76.25,23.46,67.64,0,79.21,31.82,0,34.05,3.83,85.96,38.25,27.58,0.85,4.16,8.73,65.23,55.83,30.63,0,0
"Anks4b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anks6",0,0,0,0,0.11,0,0,0,0,0,0,0,0,44.18,0,0,0,0.19,0,0,0,0,0,29.96,88.67
"Ankub1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ankzf1",0,1.3,0,10.59,0,0,60.91,25.05,0,0,5.5,0,38.2,0,0,39.81,0,15.82,20.2,38.63,6.21,0,0.44,0,0
"Anln",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AnMKRN1",0,0.55,0,0,0,0,0,0,0,0,0.4,0,0,1.34,0,0,0,0,0,0,19.44,0,0,0,0
"Ano1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83,0,0,0,0,0
"Ano10",4.01,1.23,53.28,0,46.52,0,0,34.65,0,0,0,42.12,33.26,49.6,2.04,43.73,44.78,0,0.56,61.89,62.84,0,32.18,0,1.8
"Ano2",0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ano3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.41,0.62,0,0,0,0,0,0,0,0
"Ano4",0.64,9.92,0,0,0,0,0,0,0,0,0,0,0.11,0,0,5.28,0,10.8,0,0,0,0,0,0,0
"Ano5",0,0,0,0,0,0,5.5,0,0,0,0,0,0,0,0,0,3.78,0,0,3.16,8.45,0,4.24,0,0
"Ano6",0,0.23,0,0.26,6.23,0,0.3,32.69,10.28,0,1.14,0,0,0,0.08,41.32,15.09,18.79,12.73,0,32.26,38.5,35.25,2.44,0.12
"Ano7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.65,0,8.08,0,0
"Ano8",0,0,0,0.11,0,0,7.08,0,0,0,0,0,0.13,0,0,6.78,0,0,3.74,0,11.46,0,2.36,0,0
"Ano9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anp32a",52.21,1.1,30.61,9.11,6.17,3.65,15.74,8.03,8.1,19.03,22.51,11.03,18.95,2.93,2.35,1.14,19.19,32.12,17.74,21.26,3.76,7.22,16.21,20.35,33.49
"Anp32b",174.31,100.15,79.02,81.92,71.79,0,176.29,0,65.77,41.58,13.22,65.5,97.81,133.71,96.15,71.43,138.76,0,89.94,74.84,55.94,116.24,102.81,79.08,59.46
"Anp32e",0,0,92.05,19.32,0,91.75,0,23.21,0,24.57,3.74,11.93,49.25,0,31.88,36.28,41.39,45.11,37.69,45.49,42.48,3.34,105.35,0,0.23
"Anpep",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04,0,0,0,0,0,0,0,0
"Antxr1",0,0,0.75,0,0,0,0,0,0,0,2.82,0,0,0,0.61,0.21,0,19.98,0,0,0,0,0,0.1,0
"Antxr2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Antxrl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anxa1",0,0,0,0,0,0.39,0,0,0,0,0,0,0.46,0,0,0,0,0,0,0,0,0,0,0,0
"Anxa10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anxa11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.05,0,0,0,0
"Anxa13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anxa2",0,0,0,0,0,0,0,0,0,0,0,0,0.25,98.75,0,0,0,170.56,0,0,0,0,0,0,0
"Anxa3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anxa4",0,0,0,0,31.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anxa5",63.75,43.77,189.71,110.63,265.88,74.26,0,126.88,33.45,172.15,161.44,209.69,110.16,215.11,128.38,0,0,173.48,97.32,0,137.9,0,119.76,22.6,0
"Anxa6",85.98,0,84.86,0,0,149.2,0,115.52,57.86,0,67.85,38.24,20.01,0,163.79,34.77,0,5.89,38.37,100.38,51.57,37.55,57.01,0,126.37
"Anxa7",31.46,18.67,44.31,69.74,84.32,0.64,13.15,0,52.73,1.8,27.95,41.92,0,0.11,66.54,47.42,0,24.44,53.18,19.78,21.43,61.84,39.09,0,6.44
"Anxa8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anxa9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.74,0,0,0,0
"Aoah",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aoc1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aoc2",0,0,0,17.75,0,0,7.75,0,0,0,0,0,0,0,0.19,0,0,0,0,0.43,0,0,0,0,0.9
"Aoc3",0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0
"Aox1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aox2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aox3",0,0,0,0,0,0,0,0.25,0,0,0,85.36,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aox4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ap1ar",6.19,27.1,0,0,0,0,8.8,0,52.96,0,27.64,0,0,0,11.54,39.31,29.47,0.33,29.45,67.56,38.79,26.7,71.55,75.43,0
"Ap1b1",34.36,64.16,117.18,134.03,66.7,113.14,44.1,123.26,121.4,13.6,90.54,112.03,53.8,36.17,122.86,64.46,36.66,113.31,59.03,38.68,47.84,142.36,114.64,96.91,123.06
"Ap1g1",0,0,19.85,0.46,0,0,1.46,0,0,10.37,5.26,9.77,0,10.64,0.21,10.67,38.73,6.54,30.5,27.37,19.25,18.06,23.51,0,2.43
"Ap1g2",0,0,0,0,0,16.25,0,0,0,0,0,0,25.07,0,29.46,0,0,0,6.56,0,0,0,0,0,0
"Ap1m1",118.76,99.64,127.25,57.15,95.98,220.79,59.62,270,94.37,271.98,98.16,182.61,0,62.33,161.54,179.72,39.55,143.33,128.4,104.59,31.34,0.85,79.15,67.8,0
"Ap1m2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ap1s1",322.8,178.62,307.61,203.17,236.95,253.51,252.19,256.36,285.85,278.51,183.33,273.11,205.66,216.26,179.78,184.15,188.68,287.32,57.14,130.75,139.63,180.21,231.31,139.75,166.41
"Ap1s2",93.66,61.01,27.79,38.93,40.94,86.54,28.84,15.17,16.18,33.1,53.14,35.93,43.6,1.17,5.33,30.41,72.67,24.86,44.27,13.52,34.88,26.7,57.27,99.37,62.79
"Ap1s3",0,0.96,0,0,0,0,2.7,0.19,0.39,0.15,0,0.22,0,0,0.51,0.33,0.45,0.27,0.22,1.14,0.78,0,0.24,1.57,1.05
"Ap2a1",13.8,49.99,44.27,48.13,32.48,41.77,48.89,28.16,34.79,78.44,46.05,24.12,42.86,70.79,138.08,78.55,123.51,40.88,46.29,59.98,116,80.26,34.48,90.25,127.2
"Ap2a2",29.53,21.11,75.73,7.6,97.36,21.53,52.79,68.51,72.8,58.05,50.63,55.09,18.42,14.92,61.48,35.29,77.54,13.97,72.57,45.08,80.01,55.5,41.23,21.51,18.64
"Ap2b1",9.04,0,0,8.56,0,12.06,19.66,18.75,9.2,14.28,33.2,0,0.4,0.07,0.12,6.27,2.39,32.7,18.69,29.39,35.84,5.15,0.26,24.63,0
"Ap2m1",271.46,261.19,233.81,214.89,243.07,278.35,205.75,371.23,353.24,254.19,197.96,361.41,317.62,228.41,272.25,177.02,212.26,258.73,268.71,287.24,219.32,296.84,257.93,291.48,205.66
"Ap2s1",325.11,285.34,283.38,307.38,354.4,301.07,217.02,311.42,325.92,315.44,195.84,277.38,400.1,245.67,201.12,302.52,168.48,424.5,206.16,169.36,208.54,334.5,222.32,249.94,342.33
"Ap3b1",0,42.12,72.39,8.16,0,53.05,67.02,0,0,73.89,0,1.8,0.16,0,4.41,0,16.37,0,4.13,0,31.74,66.85,0,0,0
"Ap3b2",9.47,0.88,107.71,14.87,61.03,50.08,30.4,90.07,75.9,13.17,11.17,75.45,23.92,131.17,99.27,19.55,40.54,0.13,48.68,5.27,81.73,57.14,30.69,57.21,2.92
"Ap3d1",35.48,108.38,20.4,10.85,102.69,46.82,72.72,166.39,135.71,3.77,106.87,30.24,28.31,59.45,99.47,55.06,33.4,42.79,23.41,99.86,106.5,17.57,53.18,60.33,141.87
"Ap3m1",0,0,46.23,39.13,0,0,0,7.72,3.32,15.41,58.58,0.74,0,0,2.22,3.34,3.42,0,0,37.49,11.37,0,0,0,0
"Ap3m2",8.39,75.84,0,58.21,58.38,9,0.5,43.17,0,74.63,10.33,39.93,68.18,164.88,84.21,47.2,95.92,49.8,11.65,79.91,61.04,130.12,104.21,107.54,7.52
"Ap3s1",45.85,6.81,74.08,32.22,61.37,0,48.06,1.43,0.72,36.36,41.02,56.59,34.14,0,0,0,25.72,33.43,20.5,58.76,12.74,17.21,0,44.68,94.17
"Ap3s2",0.1,12.43,3.21,12.68,24.1,32.5,33.02,16.41,0,7.41,0.35,4.65,0,0,19.43,9.04,0,0,17.53,6.71,28.71,47.75,19.6,17.79,37.4
"Ap4b1",0,0,0,0,87.13,0,0,59.33,0,14.47,69.39,25.14,0,43.6,52.65,0,1.58,0,0,0,3.48,0,11.17,0,0
"Ap4e1",0,0.04,0,0.09,0,0,0.2,0.04,0,5.72,3.49,0.05,0.22,0.09,0.04,0.08,0.05,0.13,0.16,0.09,0,0,0.06,0,0.06
"Ap4m1",0,13.21,0,0,80.76,0,0,0,0,0,8.68,0,0,0,0,0,0,0,0,103.38,0,0,0,0,0
"Ap4s1",81.12,66.71,67.28,42.66,63.12,107.6,78.37,0,28.75,144.42,120.12,100.65,165.41,98.15,0,0,0,107.98,38,59.63,38.52,64.11,155.84,0,0
"Ap5b1",0,0,0,0,0,0,0,0,0,0,0,0,52.77,0,0,0,0,0,0,0,0,0,0,0,0
"Ap5m1",0,0,0,0.54,0,0,0,2.97,0,10.32,5.99,0,3.25,0,6.1,4.92,0,0,0,22.35,12.45,0,18.23,0,0
"Ap5s1",0,0,0,0,0,82.65,0.28,170.51,0,73.19,42.11,35.41,74.3,68.44,11.69,77.16,0,0,0,10.63,37.51,0,0,76.95,130.83
"Ap5z1",0.15,0.45,0,12.88,56.2,0,0.34,0.27,118.12,0,29.94,0.16,0.32,35.11,0.12,0.47,0.16,0.58,4.29,32.58,0,0,0.17,49.02,0
"Apaf1",0,0,0,0.22,0,0,0.03,0,0.09,0,0.08,0.78,9.73,0,0,0,0.11,6.69,0,19.05,5.14,0,3.05,8.51,0.06
"Apba1",10.43,0.52,55.63,23.88,2.63,5.54,22.63,34.92,17.36,0.12,16.95,38.19,0,47.82,118.81,20.03,39.8,0.22,58.91,38.31,28.88,48.89,48.9,10.85,31.67
"Apba2",0,10.64,0,47.63,39.69,0,61.12,122.23,167.79,5.73,112.84,61.41,124.33,118.8,81.75,0,123.42,139.5,0,5.59,17.59,3.42,96.28,15.29,221.08
"Apba3",88.44,0,0,0,0.21,0,0,0,0,0,24.6,39.11,0,0,0,0,0,0,0,7.55,0,0,0,0,103.39
"Apbb1",217.83,134.13,117.13,139.47,89.12,80.04,127.85,207.6,241,184.54,120.03,138.09,154.62,180.94,164.74,139.18,172.57,9.72,122.76,127.86,154.65,191.3,195.95,143.17,100.91
"Apbb1ip",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Apbb2",7.34,2.81,0,0,0,9.09,10.94,0,39.56,0.61,26.28,0,2.63,0,0,32.1,4.71,0,0,0,11.26,31.1,26.17,9.79,0
"Apbb3",72.01,34.5,80.07,24.1,112,47.93,48.29,71.66,33.38,29.03,0,126.75,0,33.56,69.9,99.09,52.92,3.82,102.28,55.59,43.08,0,33.19,0,146.43
"Apc",4.89,1.86,0,14.04,5.32,1.2,1.39,7.58,0.41,0.75,15.49,0,0.03,0,0.03,10.87,1.2,0.33,21.26,6.52,22.72,26.36,13.13,21.48,0
"Apc2",2.68,5.48,21.53,29.44,0,0.17,19.96,0,6.76,0,6.45,2.72,13.15,0,17.31,19.05,6.51,0.17,38.03,0.95,65.73,80.43,10.07,1.28,26.11
"Apcdd1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,2.22,0
"Apcs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Apeh",47.3,29.06,85.34,0,92.08,73.46,51.69,96.56,0,76.13,0,0,49.05,0,0,84.8,59.3,0,8.59,189.01,95.51,204.42,41.88,104.15,0
"Apela",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Apex1",37.77,0,26.32,17.82,0,48.11,43.05,68.62,67.44,45.17,24.62,15.13,40.28,41.06,41.46,34.67,11.58,33.88,22.52,31.09,14.93,0,28.11,27.72,0
"Apex2",0,23.16,0.24,0,0,51.43,0,0,0,19.67,6.91,0.11,5.25,0,46.41,3.69,23.63,20.65,0,0.74,2.53,0,4.04,13.58,59.57
"Aph1a",34.93,0,0,0,0,0,30.02,27.37,22.84,3.84,22.55,0,10.91,0,27.58,0,0,0,13.73,0,5.6,20.9,0,32.4,0.71
"Aph1b",0,0,0,0,68.63,0,0,6.99,0.23,20.45,13.52,0.41,55.8,8.94,0,6.34,29.83,0,0,0,0,0,0,0,0
"Aph1c",0,0,0,0,0,0,0,0,4.74,0,0,0,0,0,0,1.92,0,0,9.76,0,0,0,0,4.37,0
"Api5",0,69.41,71.27,47.79,4.39,0,0,0.19,0.79,32.44,13.14,29.4,43.09,37.65,12.68,25.22,32.38,0,39.83,0,17.07,20.28,0,8.3,0
"Apip",56.76,0,0,0.57,76.68,0,77.23,112.84,7.33,53.99,0,0,60.5,0,20.79,0,0,1.71,0,121.26,25.59,0,0,56.86,0
"Apitd1",0,0,0,0,0,0,0,72.03,0,0,0,0,69.61,78.28,42.2,0,0,0,0,0,0,0,0,24.62,107.91
"Aplf",0,0.42,0,0.64,0,0,0.27,0.17,0.34,0,0,0,0.19,0,1.2,0.14,0.2,0,2.34,0.83,0,0,0.86,0.55,0.23
"Apln",0,0,0,15.81,0,0,0,0,0,0,33.79,0,28.08,0,0,0,0,0,0,0,0,0,0,0,0
